,address,type,balance
0,1BtK4w7yuvtWEqmMJcjW6DqWuqXBWii2ZC,pubkeyhash,9000000000000
1,1JiTbxqmmkC9izgpC9QLcqGWbQs42PtC7r,pubkeyhash,5790065000000
2,19eJDWL3j3ABd17imWAZjmmPa6FGYGARL7,pubkeyhash,5000000000000
3,1NJWs6g6hQsgxqtpRxXLhZJwHYhH2P2bvx,pubkeyhash,4000000000000
4,17CJvRrNdqSPN3Zs2dWfNY6GoCiMRfNG2T,pubkeyhash,3303500000000
5,1MoQZ9fFz9QQYM3pt8z9Xs99jNPwfSzMEu,pubkeyhash,3200000000000
6,1s4pPJap3eCRLdgxwSKTW5gxeuXZKrRT4,pubkeyhash,3142407000000
7,199QiJj1miojVSAop7gpAamscHd77r12ET,pubkeyhash,3133845000000
8,12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr,pubkeyhash,3100000000000
9,1KdZ1EoVwT9HxmZT7qr9mRPc7hcDq82xsu,pubkeyhash,3000000000000
10,1GsGdtcrD4xKHHpuB3gNGxonak8oqGAWp7,pubkeyhash,3000000000000
11,15oCtt4tujaUQr1JicBqePsTg5Mz7AN3Ma,pubkeyhash,2999000000000
12,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,pubkeyhash,2815000000000
13,1KiqpqG9UwMhcc9pHGFXpz25H7wyNqQff9,pubkeyhash,2610000000000
14,1Pw48g5zwghYtYUhfjMppxxZnzaUu8ognh,pubkeyhash,2554958000000
15,14o3HbKWdgpeMrX6fwWE95nR6XRBFMKsfp,pubkeyhash,2505258000000
16,1AxP9ex3rm2LpsdM5NZ4ed3qT4asVX6E72,pubkeyhash,2500000000000
17,1GdVp8gMW2MjK3L8gNWXLR8uRNFfB4Qex3,pubkeyhash,2320000000000
18,1EGgArtZHFLc2KCJijhV6zWpzUrj54xRga,pubkeyhash,2000000000000
19,1FeSRnut5MS2BdVbrLDN3jWzJZaS7EVBbU,pubkeyhash,2000000000000
20,1K1MjKdRsj4T3Tdr7DXdPJCYuUPw8US72f,pubkeyhash,1985714000000
21,1B1wPLyrJ831sg1D8hnZLBG7SejXbqMMrH,pubkeyhash,1950000000000
22,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,pubkeyhash,1940000000000
23,19k8nToWwMGuF4HkNpzgoVAYk4viBnEs5D,pubkeyhash,1907243000000
